instant,dteday,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_check,season,time_cluster
41,2011-01-02,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,65,1,Sore
42,2011-01-02,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,53,1,Sore
43,2011-01-02,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,30,1,Malam
44,2011-01-02,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,22,1,Malam
45,2011-01-02,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,31,1,Malam
46,2011-01-02,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,9,1,Malam
47,2011-01-02,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,8,1,Malam
48,2011-01-03,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,5,1,
49,2011-01-03,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,2,1,Pagi
50,2011-01-03,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,1,1,Pagi
51,2011-01-03,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,3,1,Pagi
52,2011-01-03,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,30,1,Pagi
53,2011-01-03,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,64,1,Siang
54,2011-01-03,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,154,1,Siang
55,2011-01-03,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,88,1,Siang
56,2011-01-03,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,44,1,Siang
57,2011-01-03,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,51,1,Siang
58,2011-01-03,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,61,1,Siang
59,2011-01-03,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,61,1,Sore
60,2011-01-03,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,77,1,Sore
61,2011-01-03,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,72,1,Sore
62,2011-01-03,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,76,1,Sore
63,2011-01-03,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,157,1,Sore
64,2011-01-03,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,157,1,Sore
65,2011-01-03,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,110,1,Malam
66,2011-01-03,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,52,1,Malam
67,2011-01-03,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,52,1,Malam
68,2011-01-03,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,20,1,Malam
69,2011-01-03,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,12,1,Malam
70,2011-01-04,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,5,1,
71,2011-01-04,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,2,1,Pagi
72,2011-01-04,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,1,1,Pagi
73,2011-01-04,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,2,1,Pagi
74,2011-01-04,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,4,1,Pagi
75,2011-01-04,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,36,1,Pagi
76,2011-01-04,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,94,1,Siang
77,2011-01-04,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,179,1,Siang
78,2011-01-04,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,100,1,Siang
79,2011-01-04,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,42,1,Siang
80,2011-01-04,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,57,1,Siang
81,2011-01-04,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,78,1,Siang
82,2011-01-04,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,97,1,Sore
83,2011-01-04,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,63,1,Sore
84,2011-01-04,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,65,1,Sore
85,2011-01-04,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,83,1,Sore
86,2011-01-04,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,212,1,Sore
87,2011-01-04,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,182,1,Sore
88,2011-01-04,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,112,1,Malam
89,2011-01-04,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,54,1,Malam
90,2011-01-04,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,48,1,Malam
91,2011-01-04,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,35,1,Malam
92,2011-01-04,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,11,1,Malam
93,2011-01-05,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,6,1,
94,2011-01-05,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,6,1,Pagi
95,2011-01-05,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,2,1,Pagi
96,2011-01-05,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,2,1,Pagi
97,2011-01-05,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,3,1,Pagi
98,2011-01-05,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,33,1,Pagi
99,2011-01-05,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,88,1,Siang
100,2011-01-05,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,195,1,Siang
101,2011-01-05,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,115,1,Siang
102,2011-01-05,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,57,1,Siang
103,2011-01-05,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,46,1,Siang
104,2011-01-05,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,79,1,Siang
105,2011-01-05,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,71,1,Sore
106,2011-01-05,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,62,1,Sore
107,2011-01-05,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,62,1,Sore
108,2011-01-05,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,89,1,Sore
109,2011-01-05,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,190,1,Sore
110,2011-01-05,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,169,1,Sore
111,2011-01-05,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,132,1,Malam
112,2011-01-05,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,89,1,Malam
113,2011-01-05,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,43,1,Malam
114,2011-01-05,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,42,1,Malam
115,2011-01-05,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,19,1,Malam
116,2011-01-06,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,11,1,
117,2011-01-06,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,4,1,Pagi
118,2011-01-06,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,2,1,Pagi
119,2011-01-06,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,1,1,Pagi
120,2011-01-06,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,4,1,Pagi
121,2011-01-06,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,36,1,Pagi
122,2011-01-06,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,95,1,Siang
123,2011-01-06,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,219,1,Siang
124,2011-01-06,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,122,1,Siang
125,2011-01-06,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,45,1,Siang
126,2011-01-06,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,59,1,Siang
127,2011-01-06,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,84,1,Siang
128,2011-01-06,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,67,1,Sore
129,2011-01-06,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,70,1,Sore
130,2011-01-06,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,62,1,Sore
131,2011-01-06,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,86,1,Sore
132,2011-01-06,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,172,1,Sore
133,2011-01-06,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,163,1,Sore
134,2011-01-06,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,112,1,Malam
135,2011-01-06,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,69,1,Malam
136,2011-01-06,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,48,1,Malam
137,2011-01-06,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,52,1,Malam
138,2011-01-06,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,23,1,Malam
139,2011-01-07,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,17,1,
140,2011-01-07,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,7,1,Pagi
141,2011-01-07,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,1,1,Pagi
142,2011-01-07,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,1,1,Pagi
143,2011-01-07,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,5,1,Pagi
144,2011-01-07,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,34,1,Pagi
145,2011-01-07,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,84,1,Siang
146,2011-01-07,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,210,1,Siang
147,2011-01-07,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,134,1,Siang
148,2011-01-07,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,63,1,Siang
149,2011-01-07,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,67,1,Siang
150,2011-01-07,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,59,1,Siang
151,2011-01-07,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,73,1,Sore
152,2011-01-07,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,50,1,Sore
153,2011-01-07,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,72,1,Sore
154,2011-01-07,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,87,1,Sore
155,2011-01-07,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,187,1,Sore
156,2011-01-07,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,123,1,Sore
157,2011-01-07,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,95,1,Malam
158,2011-01-07,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,51,1,Malam
159,2011-01-07,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,39,1,Malam
160,2011-01-07,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,36,1,Malam
161,2011-01-07,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,15,1,Malam
162,2011-01-08,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,25,1,
163,2011-01-08,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,16,1,Pagi
164,2011-01-08,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,16,1,Pagi
165,2011-01-08,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,7,1,Pagi
166,2011-01-08,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,0,1,1,1,1,Pagi
167,2011-01-08,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,0,5,5,5,1,Pagi
168,2011-01-08,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,0,2,2,2,1,Pagi
169,2011-01-08,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,1,8,9,9,1,Siang
170,2011-01-08,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,0,15,15,15,1,Siang
171,2011-01-08,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,0,20,20,20,1,Siang
172,2011-01-08,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,5,56,61,61,1,Siang
173,2011-01-08,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,2,60,62,62,1,Siang
174,2011-01-08,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,8,90,98,98,1,Siang
175,2011-01-08,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,7,95,102,102,1,Sore
176,2011-01-08,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,12,83,95,95,1,Sore
177,2011-01-08,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,5,69,74,74,1,Sore
178,2011-01-08,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,8,68,76,76,1,Sore
179,2011-01-08,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,5,64,69,69,1,Sore
180,2011-01-08,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,3,52,55,55,1,Sore
181,2011-01-08,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,4,26,30,30,1,Malam
182,2011-01-08,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,0,28,28,28,1,Malam
183,2011-01-08,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,2,35,37,37,1,Malam
184,2011-01-08,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34,34,1,Malam
185,2011-01-08,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,0,22,22,22,1,Malam
186,2011-01-09,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,1,24,25,25,1,
187,2011-01-09,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,0,12,12,12,1,Pagi
188,2011-01-09,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,0,11,11,11,1,Pagi
189,2011-01-09,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,0,4,4,4,1,Pagi
190,2011-01-09,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1,1,Pagi
191,2011-01-09,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,0,1,1,1,1,Pagi
192,2011-01-09,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,0,1,1,1,1,Pagi
193,2011-01-09,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,1,5,6,6,1,Siang
194,2011-01-09,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,0,10,10,10,1,Siang
195,2011-01-09,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,0,19,19,19,1,Siang
196,2011-01-09,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,0,49,49,49,1,Siang
197,2011-01-09,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,2,47,49,49,1,Siang
198,2011-01-09,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,4,79,83,83,1,Siang
199,2011-01-09,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,6,69,75,75,1,Sore
200,2011-01-09,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,8,64,72,72,1,Sore
201,2011-01-09,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,5,77,82,82,1,Sore
202,2011-01-09,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,13,79,92,92,1,Sore
203,2011-01-09,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,3,59,62,62,1,Sore
204,2011-01-09,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,4,44,48,48,1,Sore
205,2011-01-09,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,1,40,41,41,1,Malam
206,2011-01-09,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,0,38,38,38,1,Malam
207,2011-01-09,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,1,19,20,20,1,Malam
208,2011-01-09,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,5,10,15,15,1,Malam
209,2011-01-09,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,0,6,6,6,1,Malam
210,2011-01-10,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,2,3,5,5,1,
211,2011-01-10,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1,0,1,1,1,Pagi
212,2011-01-10,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,0,3,3,3,1,Pagi
213,2011-01-10,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,0,1,1,1,1,Pagi
214,2011-01-10,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,1,2,3,3,1,Pagi
215,2011-01-10,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,0,3,3,3,1,Pagi
216,2011-01-10,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,0,31,31,31,1,Pagi
217,2011-01-10,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,2,75,77,77,1,Siang
218,2011-01-10,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,4,184,188,188,1,Siang
219,2011-01-10,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,2,92,94,94,1,Siang
220,2011-01-10,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,0,31,31,31,1,Siang
221,2011-01-10,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,2,28,30,30,1,Siang
222,2011-01-10,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,5,47,52,52,1,Siang
223,2011-01-10,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,4,50,54,54,1,Sore
224,2011-01-10,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,0,47,47,47,1,Sore
225,2011-01-10,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,2,43,45,45,1,Sore
226,2011-01-10,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,4,70,74,74,1,Sore
227,2011-01-10,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,4,174,178,178,1,Sore
228,2011-01-10,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,1,154,155,155,1,Sore
229,2011-01-10,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,3,92,95,95,1,Malam
230,2011-01-10,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,1,73,74,74,1,Malam
231,2011-01-10,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,1,37,38,38,1,Malam
232,2011-01-10,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,2,22,24,24,1,Malam
233,2011-01-10,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,0,18,18,18,1,Malam
234,2011-01-11,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,2,10,12,12,1,
235,2011-01-11,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,0,3,3,3,1,Pagi
236,2011-01-11,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,0,3,3,3,1,Pagi
237,2011-01-11,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,0,6,6,6,1,Pagi
238,2011-01-11,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,0,27,27,27,1,Pagi
239,2011-01-11,0,1,7,0,2,1,2,0.16,0.2273,0.55,0.0,2,97,99,99,1,Siang
240,2011-01-11,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,3,214,217,217,1,Siang
241,2011-01-11,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,3,127,130,130,1,Siang
242,2011-01-11,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,3,51,54,54,1,Siang
243,2011-01-11,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,4,31,35,35,1,Siang
244,2011-01-11,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,2,55,57,57,1,Siang
245,2011-01-11,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,6,46,52,52,1,Sore
246,2011-01-11,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,3,60,63,63,1,Sore
247,2011-01-11,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,2,45,47,47,1,Sore
248,2011-01-11,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,4,72,76,76,1,Sore
249,2011-01-11,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,6,130,136,136,1,Sore
250,2011-01-11,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,1,94,95,95,1,Sore
251,2011-01-11,0,1,19,0,2,1,3,0.16,0.2273,0.93,0.0,0,51,51,51,1,Malam
252,2011-01-11,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,0,32,32,32,1,Malam
253,2011-01-11,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,0,20,20,20,1,Malam
